word,count
said,712361
one,647687
would,551409
people,547410
new,509377
also,407823
like,397703
us,388149
time,378134
year,348888
trump,339910
even,320118
news,313254
iran,311809
president,311415
state,303308
first,299327
many,280935
two,280552
could,279610
government,279041
years,272045
world,263694
may,262907
get,250137
last,247296
u,241199
obama,241098
iranian,237490
states,234202
public,233815
see,233100
right,229173
back,227068
day,226109
well,223627
make,215507
made,212892
know,211337
american,207900
way,204366
use,201091
going,199698
much,197806
health,192673
system,191042
war,189643
think,181243
recs,181191
com,180803
take,175391
united,174334
mr,174140
since,173984
country,173406
house,168970
nuclear,168783
good,167685
life,163302
say,161763
law,158833
still,158256
go,157796
work,157215
want,155833
long,155125
national,151947
islamic,151916
percent,151686
another,151370
including,149545
according,148486
america,147910
military,146922
need,146556
political,145622
told,145102
three,143984
media,143779
week,141365
today,140965
former,139784
high,139415
minister,139200
part,138704
million,137404
called,136542
around,135840
leader,135707
police,134947
party,134568
foreign,132879
every,132368
white,131549
money,130199
really,127885
support,127197
never,126625
old,126016
times,125105
